Period_dt,Region,Segment,yhat
2026-04-01,Scotland,All dwellings,242971.43147806637
2026-07-01,Scotland,All dwellings,243921.3983037282
2026-10-01,Scotland,All dwellings,245147.33962481256
2027-01-01,Scotland,All dwellings,239928.1139785375
2027-04-01,Scotland,All dwellings,240865.25259131417
2027-07-01,Scotland,All dwellings,243465.2756526068
2027-10-01,Scotland,All dwellings,243764.5621329366
2028-01-01,Scotland,All dwellings,236988.41442968
2028-04-01,Scotland,All dwellings,240887.7799423055
2028-07-01,Scotland,All dwellings,243019.10596438285
2028-10-01,Scotland,All dwellings,241861.6868814281
2026-01-01,South East,All dwellings,565721.068308084
2026-04-01,South East,All dwellings,514035.0231946259
2026-07-01,South East,All dwellings,569835.5471695755
2026-10-01,South East,All dwellings,568706.578784866
2027-01-01,South East,All dwellings,565721.068308084
2027-04-01,South East,All dwellings,569835.5471695755
2027-07-01,South East,All dwellings,565721.068308084
2027-10-01,South East,All dwellings,565721.068308084
2028-01-01,South East,All dwellings,565721.068308084
2028-04-01,South East,All dwellings,565721.068308084
2028-07-01,South East,All dwellings,565721.068308084
2028-10-01,South East,All dwellings,565721.068308084
2026-01-01,South West,All dwellings,338365.40165132127
2026-04-01,South West,All dwellings,355485.66930104484
2026-07-01,South West,All dwellings,362582.5210908488
2026-10-01,South West,All dwellings,360636.53784837003
2027-01-01,South West,All dwellings,362146.78488665674
2027-04-01,South West,All dwellings,366129.4223874127
2027-07-01,South West,All dwellings,370835.26197822334
2027-10-01,South West,All dwellings,366233.27113945025
2028-01-01,South West,All dwellings,364915.55589652935
2028-04-01,South West,All dwellings,367714.534838622
2028-07-01,South West,All dwellings,367586.11137564154
2028-10-01,South West,All dwellings,362630.6233720911
2026-01-01,United Kingdom,All dwellings,329253.0739260942
2026-04-01,United Kingdom,All dwellings,343104.1591208902
2026-07-01,United Kingdom,All dwellings,345237.26127538603
2026-10-01,United Kingdom,All dwellings,343137.75109764806
2027-01-01,United Kingdom,All dwellings,349302.152633674
2027-04-01,United Kingdom,All dwellings,348431.06639194844
2027-07-01,United Kingdom,All dwellings,357258.8369261197
2027-10-01,United Kingdom,All dwellings,362476.8113713348
2028-01-01,United Kingdom,All dwellings,362283.6177985721
2028-04-01,United Kingdom,All dwellings,366708.22436127276
2028-07-01,United Kingdom,All dwellings,372937.692118329
2028-10-01,United Kingdom,All dwellings,366233.27113945025
2026-01-01,Wales,All dwellings,246429.9236219711
2026-04-01,Wales,All dwellings,247412.66995291007
2026-07-01,Wales,All dwellings,248768.15974972132
2026-10-01,Wales,All dwellings,247344.66414132735
2027-01-01,Wales,All dwellings,240622.40286304447
2027-04-01,Wales,All dwellings,241960.96481131707
2027-07-01,Wales,All dwellings,243080.9951553637
2027-10-01,Wales,All dwellings,244408.1687816363
2028-01-01,Wales,All dwellings,239067.6117694633
2028-04-01,Wales,All dwellings,240698.72748342282
2028-07-01,Wales,All dwellings,242434.58395066575
2028-10-01,Wales,All dwellings,242045.83080357738
2026-01-01,West Midlands,All dwellings,332142.08491449826
2026-04-01,West Midlands,All dwellings,343333.6649026153
2026-07-01,West Midlands,All dwellings,357118.9922957629
2026-10-01,West Midlands,All dwellings,348593.5111271285
2027-01-01,West Midlands,All dwellings,348727.76590955566
2027-04-01,West Midlands,All dwellings,358788.6722307215
