Period,Region,Region code,New dwellings Price,New dwellings average advance,New dwellings average recorded income of borrowers,Other dwellings Price,Other dwellings average advance,Other dwellings average recorded income of borrowers,All dwellings Price,All dwellings average advance,All dwellings average recorded income of borrowers,First time buyers Price,First time buyers average advance,First time buyers average recorded income of borrowers,Former owner occupiers Price,Former owner occupiers average advance,Former owner occupiers average recorded income of borrowers,Unnamed: 18,"Simple average house and mortage price statistics [note 1, 2, 3, 4, 5, 6, 7]",Period_dt
2022 Q1,Scotland,S92000003,294931,212748,68724,209570,149674,52457,223554,160014,55168,168645,133064,43316,280831,188207,67584,,,01/01/2022
2022 Q2,Scotland,S92000003,294253,218691,68592,211117,151368,52789,226414,163782,55695,175605,139326,44939,279492,189343,66972,,,01/04/2022
2022 Q3,Scotland,S92000003,305886,226184,72826,221933,156714,55360,233787,166519,57820,176397,139558,46063,290883,193368,69580,,,01/07/2022
2022 Q4,Scotland,S92000003,315026,232679,73599,217613,152339,55923,236833,168165,59440,177520,140904,46665,293999,194431,71807,,,01/10/2022
2023 Q1,Scotland,S92000003,326468,232739,76616,209283,144978,54998,226393,157760,58178,172120,133345,46453,279056,181431,69617,,,01/01/2023
2023 Q2,Scotland,S92000003,323911,224322,77307,213436,150338,58173,230811,162002,61184,176562,137837,48601,286718,186922,74234,,,01/04/2023
2023 Q3,Scotland,S92000003,325749,223877,78538,219989,151622,59077,231839,159732,61259,172734,133516,48435,292604,186692,74556,,,01/07/2023
2023 Q4,Scotland,S92000003,327020,221130,80167,215012,148414,59706,229794,158069,62414,170287,132095,48311,292332,185369,77377,,,01/10/2023
2024 Q1,Scotland,S92000003,330404,230030,81737,213166,152462,59743,225467,160601,62053,171297,136599,49144,286045,187443,76592,,,01/01/2024
2024 Q2,Scotland,S92000003,335317,232603,83385,216443,155310,59999,230018,164136,62665,175991,141076,50038,288578,189131,76453,,,01/04/2024
2024 Q3,Scotland,S92000003,332746,235783,83730,226509,161654,63732,235670,168047,65451,176880,141596,50418,299764,196884,81982,,,01/07/2024
2024 Q4,Scotland,S92000003,331657,240500,80802,224201,161043,61607,237464,170851,63978,180510,146114,51289,299710,197885,77941,,,01/10/2024
2025 Q1,Scotland,S92000003,329637,243190,79904,222678,161071,60509,234412,170080,62634,182617,147484,51125,296184,197028,76400,,,01/01/2025
2025 Q2,Scotland,S92000003,331916,245683,80288,222267,162560,60833,236931,173677,63432,184510,150273,51971,297592,200759,76744,,,01/04/2025
2025 Q3,Scotland,S92000003,339288,250129,82454,233827,169034,62393,244427,177185,64403,187079,151120,51703,307981,206069,78540,,,01/07/2025
2025 Q4,Scotland,S92000003,330652,243799,80699,231699,168153,61621,244836,178196,64157,186837,151409,51208,307141,206972,78130,,,01/10/2025
2021 Q1,Northern Ireland,N92000001,219997,139239,54081,179495,127180,47993,186240,129249,48933,143225,108246,38302,236878,153895,61434,,,01/01/2021
2021 Q2,Northern Ireland,N92000001,214347,140248,54271,185896,133531,49035,191461,134882,50030,151441,115447,40247,244698,160620,63178,,,01/04/2021
2021 Q3,Northern Ireland,N92000001,202498,133625,53271,174913,127741,46370,179935,128811,47625,150734,117271,40433,220168,144587,57734,,,01/07/2021
2021 Q4,Northern Ireland,N92000001,197388,138312,50977,165071,124313,44548,171830,127217,45878,148032,118297,39967,215325,143558,56833,,,01/10/2021
2022 Q1,Northern Ireland,N92000001,215044,149871,53153,178526,132516,46926,184707,135289,47960,151760,121766,40419,239819,157862,60648,,,01/01/2022
2022 Q2,Northern Ireland,N92000001,225816,161544,55585,182400,137608,48212,190623,142161,49599,157541,127181,42630,246210,167287,61317,,,01/04/2022
2022 Q3,Northern Ireland,N92000001,238934,174472,60485,190339,143230,50431,198015,148159,52024,161404,131173,43315,259371,176638,66661,,,01/07/2022
2022 Q4,Northern Ireland,N92000001,234902,173165,58620,185270,137386,50028,192714,142748,51319,159207,129159,43882,249451,165753,63972,,,01/10/2022
2023 Q1,Northern Ireland,N92000001,238355,167810,64723,179241,130844,51852,186838,135686,53522,150017,119799,44091,251808,163784,70438,,,01/01/2023
2023 Q2,Northern Ireland,N92000001,244698,160863,63196,184903,133880,53418,192588,137322,54675,157096,124183,45697,253620,160371,70404,,,01/04/2023
2023 Q3,Northern Ireland,N92000001,252188,168033,65139,199989,141722,56196,206338,144929,57283,163347,128846,47458,265805,167219,70970,,,01/07/2023
2023 Q4,Northern Ireland,N92000001,242539,165229,64332,190741,136175,54624,198738,140518,56118,165136,128923,47825,255802,160670,70158,,,01/10/2023
2024 Q1,Northern Ireland,N92000001,259870,159615,65944,193678,138258,55920,203073,141289,57347,167439,127895,48486,255607,161036,70470,,,01/01/2024
2024 Q2,Northern Ireland,N92000001,245117,154969,63409,195957,140670,54794,203752,142938,56164,171509,132098,47986,248625,158024,67622,,,01/04/2024
2024 Q3,Northern Ireland,N92000001,271467,168075,70003,211649,151103,59411,219500,153331,60799,179681,138576,50504,274872,173849,75206,,,01/07/2024
2024 Q4,Northern Ireland,N92000001,267971,174243,67075,212767,152048,58878,221074,155388,60114,181589,142291,50354,274177,173001,73282,,,01/10/2024
2025 Q1,Northern Ireland,N92000001,279736,182732,71538,218113,155733,58396,226744,159515,60239,185551,144712,51352,278624,178157,71519,,,01/01/2025
2025 Q2,Northern Ireland,N92000001,271076,176390,67365,204462,150151,55574,215696,154576,57565,182878,142324,50233,275136,176767,70863,,,01/04/2025
2025 Q3,Northern Ireland,N92000001,271125,182888,67133,222056,161488,58306,229633,164793,59670,190797,149764,51589,292023,188936,72752,,,01/07/2025
2025 Q4,Northern Ireland,N92000001,277485,183333,67572,228518,166742,58929,236341,169393,60309,197799,155792,51577,297898,191116,74289,,,01/10/2025
